iter	Passed	Remaining
612	9618	68832
613	9633	68816
614	9648	68796
615	9662	68768
616	9679	68762
617	9700	68785
618	9716	68771
619	9729	68736
620	9744	68711
621	9758	68685
622	9772	68655
623	9787	68637
624	9801	68608
625	9815	68581
626	9829	68556
627	9843	68526
628	9859	68511
629	9871	68473
630	9886	68456
631	9899	68421
632	9913	68394
633	9927	68366
634	9941	68339
635	9955	68310
636	9969	68282
637	9984	68261
638	9999	68240
639	10012	68209
640	10027	68187
641	10041	68164
642	10056	68142
643	10070	68116
644	10084	68093
645	10097	68058
646	10112	68037
647	10125	68002
648	10139	67979
649	10154	67954
650	10168	67931
651	10183	67913
652	10198	67890
653	10213	67868
654	10227	67846
655	10240	67813
656	10255	67793
657	10267	67755
658	10283	67741
659	10297	67711
660	10311	67688
661	10325	67660
662	10339	67636
663	10353	67609
664	10369	67594
665	10383	67571
666	10398	67552
667	10412	67527
668	10426	67501
669	10438	67462
670	10453	67443
671	10465	67403
672	10478	67372
673	10491	67338
674	10504	67306
675	10517	67276
676	10531	67247
677	10544	67214
678	10557	67188
679	10570	67150
680	10584	67129
681	10596	67093
682	10610	67067
683	10625	67047
684	10639	67019
685	10653	66995
686	10667	66971
687	10681	66946
688	10695	66920
689	10709	66896
690	10724	66878
691	10737	66847
692	10751	66818
693	10764	66789
694	10780	66776
695	10793	66746
696	10809	66734
697	10824	66714
698	10839	66693
699	10853	66671
700	10867	66649
701	10882	66629
702	10895	66599
703	10909	66569
704	10923	66550
705	10937	66523
706	10952	66504
707	10965	66476
708	10978	66443
709	10993	66423
710	11006	66395
711	11020	66371
712	11035	66352
713	11050	66331
714	11063	66305
715	11077	66281
716	11092	66260
717	11107	66243
718	11122	66226
719	11137	66204
720	11152	66185
721	11166	66164
722	11181	66146
723	11195	66121
724	11209	66098
725	11223	66071
726	11237	66048
727	11251	66024
728	11263	65990
729	11277	65965
730	11290	65937
731	11305	65919
732	11344	66037
733	11356	66002
734	11372	65991
735	11386	65968
736	11401	65948
737	11413	65913
738	11426	65883
739	11438	65847
740	11451	65816
741	11465	65793
742	11479	65770
743	11491	65735
744	11505	65713
745	11518	65684
746	11532	65661
747	11546	65633
748	11560	65610
749	11574	65586
750	11587	65559
751	11602	65539
752	11615	65513
753	11628	65480
754	11643	65466
755	11656	65439
756	11671	65416
757	11686	65398
758	11699	65373
759	11714	65352
760	11728	65329
761	11742	65306
762	11754	65274
763	11768	65248
764	11783	65233
765	11798	65213
766	11813	65195
767	11826	65168
768	11840	65146
769	11854	65123
770	11868	65099
771	11882	65076
772	11898	65061
773	11912	65039
774	11926	65018
775	11940	64993
776	11952	64963
777	11967	64942
778	11982	64928
779	11998	64912
780	12013	64900
781	12027	64876
782	12043	64862
783	12056	64833
784	12070	64814
785	12085	64792
786	12099	64770
787	12113	64746
788	12128	64730
789	12142	64709
790	12157	64690
791	12170	64664
792	12185	64647
793	12198	64620
794	12214	64605
795	12228	64583
796	12242	64561
797	12256	64540
798	12271	64522
799	12285	64497
800	12299	64477
801	12314	64457
802	12329	64440
803	12346	64435
804	12361	64416
805	12373	64387
806	12388	64369
807	12402	64348
808	12417	64329
809	12430	64301
810	12445	64281
811	12459	64259
812	12472	64234
813	12485	64208
814	12498	64179
815	12512	64156
816	12524	64126
817	12537	64099
818	12551	64073
819	12565	64051
820	12578	64025
821	12591	63999
822	12605	63976
823	12619	63953
824	12633	63931
825	12646	63904
826	12661	63889
827	12678	63880
828	12693	63863
829	12706	63840
830	12721	63822
831	12735	63801
832	12749	63777
833	12764	63761
834	12778	63740
835	12791	63714
836	12807	63701
837	12821	63678
838	12835	63657
839	12847	63627
840	12864	63616
841	12876	63586
842	12889	63562
843	12903	63540
844	12918	63523
845	12932	63502
846	12948	63490
847	12963	63471
848	12978	63453
849	12991	63430
850	13007	63416
851	13022	63399
852	13036	63377
853	13048	63349
